"Chart data for Banking Deserts, Branch Closings, and Soft Information",,,,
http://libertystreeteconomics.newyorkfed.org/2016/03/banking-deserts-branch-closings-and-soft-information.html,,,,
,,,,
This file contains the latitude and longitude of census tracts in 2014 within “banking deserts” as that term is defined in the post.,,,,
Year,geoid2000,tract_latitude,tract_longitude,banking_desert
2014,12059960200,30.826233,-85.93376,1
2014,12067960100,30.204839,-83.297171,1
2014,12075970400,29.225727,-82.855761,1
2014,12077950100,30.275609,-84.785818,1
2014,12079990200,30.437116,-83.639254,1
2014,12081002010,27.365913,-82.184887,1
2014,12083000400,29.431613,-82.007408,1
2014,12083000500,29.378086,-81.793542,1
2014,12087970100,25.369355,-80.956061,1
2014,12093990100,27.446315,-80.952833,1
2014,12097043800,28.029939,-81.031916,1
2014,12099007903,26.669052,-80.50074,1
2014,12105014203,27.907588,-81.381587,1
2014,12105015600,27.805448,-81.368546,1
2014,12113010100,30.868392,-86.912356,1
2014,12121970300,30.209729,-83.160375,1
2014,12123950400,29.906107,-83.523029,1
2014,12123990200,30.303585,-83.763413,1
2014,12131950100,30.855159,-86.226816,1
2014,12133970300,30.551136,-85.635818,1
2014,13001950400,31.641674,-82.203098,1
2014,13007960200,31.286595,-84.548679,1
2014,13025980100,31.258247,-81.806255,1
2014,13031990100,32.555659,-81.924202,1
2014,13033950300,33.070693,-82.229266,1
2014,13037950100,31.51978,-84.54475,1
2014,13049990200,30.589424,-82.086327,1
2014,13053020100,32.295484,-84.772284,1
2014,13065970200,30.847781,-82.68188,1
2014,13069990300,31.503593,-82.663755,1
2014,13073030400,33.607808,-82.303518,1
2014,13087970700,30.763614,-84.705115,1
2014,13101980100,30.719479,-82.827354,1
2014,13107980500,32.552512,-82.523598,1
2014,13129970100,34.54907,-84.745726,1
2014,13161960300,31.729579,-82.727685,1
2014,13167980100,32.65933,-82.565507,1
2014,13175951200,32.285543,-82.834506,1
2014,13175951300,32.286554,-83.011662,1
2014,13205980100,31.3709,-84.129211,1
2014,13271950300,31.856426,-82.944636,1
2014,13289060100,32.741488,-83.407042,1
2014,13289060200,32.597347,-83.403913,1
2014,13299950100,31.383786,-82.538221,1
2014,13321950100,31.744209,-83.897973,1
2014,15001021002,19.525053,-155.124453,1
2014,15001021300,19.307543,-155.883382,1
2014,15001021800,20.201781,-155.801799,1
2014,15001022100,19.94333,-155.225519,1
2014,15003011498,25.77325,-171.734928,1
2014,15007041000,21.898225,-160.145404,1
2014,15007041100,21.660171,-160.549196,1
2014,16001010501,43.31994,-116.305446,1
2014,16001010502,43.339477,-116.100468,1
2014,16011950200,43.218617,-111.956156,1
2014,16011950300,43.084856,-112.721493,1
2014,16015950200,43.955457,-115.858563,1
2014,16017950100,48.148866,-116.243016,1
2014,16017950600,48.528168,-116.858528,1
2014,16017950800,48.099635,-116.686741,1
2014,16019970100,43.394705,-111.450949,1
2014,16021970100,48.835534,-116.203919,1
2014,16029960200,42.791847,-111.514927,1
2014,16031950100,42.306273,-113.368629,1
2014,16031950600,42.306851,-113.995142,1
2014,16033950100,44.240975,-112.291097,1
2014,16035970100,46.667955,-115.821445,1
2014,16037990200,44.21163,-114.139033,1
2014,16039980100,43.181173,-115.325772,1
2014,16039980500,43.049511,-115.866452,1
2014,16043970100,44.334185,-111.477188,1
2014,16045960100,44.066465,-116.3744,1
2014,16049960100,46.033564,-115.424524,1
2014,16055001900,47.624079,-116.525757,1
2014,16057005600,46.798426,-116.569896,1
2014,16059980100,45.259263,-114.090877,1
2014,16059980300,44.699965,-113.553375,1
2014,16061950300,46.102324,-116.624354,1
2014,16063950100,42.965518,-114.212667,1
2014,16067980300,42.800785,-113.585149,1
2014,16069990100,46.410164,-116.679568,1
2014,16073940300,42.051981,-116.160006,1
2014,16073950200,42.725513,-116.089037,1
2014,16083980100,42.461627,-114.950595,1
2014,16083980200,42.324632,-114.527459,1
2014,17125956600,40.155804,-90.11465,1
2014,17151971200,37.488767,-88.591101,1
2014,20011955600,37.965271,-94.856427,1
2014,20057961700,37.586195,-99.856504,1
2014,20063955200,38.977652,-100.618923,1
2014,20109954600,39.010542,-101.063727,1
2014,20205997100,37.604937,-95.660893,1
2014,21025980400,37.578326,-83.169979,1
2014,21051950100,37.275526,-83.655531,1
2014,21051950600,37.033301,-83.608311,1
2014,21135990400,38.429563,-83.37483,1
2014,21193970100,37.317227,-83.483729,1
2014,21219950100,36.975315,-87.175547,1
2014,22003950100,30.694414,-92.917799,1
2014,22011960100,30.725147,-93.123589,1
2014,22011960600,30.642024,-93.560146,1
2014,22023970100,29.86684,-92.95501,1
2014,22027950100,32.830135,-92.855685,1
2014,22035990200,32.660116,-91.205315,1
2014,22045031500,29.606488,-91.89078,1
2014,22051027900,29.464476,-90.068182,1
2014,22067950100,32.917974,-91.681911,1
2014,22073010502,32.344461,-92.204225,1
2014,22073010604,32.339013,-92.092837,1
2014,22075050400,29.620268,-89.922013,1
2014,22075050600,29.390344,-89.600505,1
2014,22075050700,29.34875,-89.510342,1
2014,22075050800,29.307011,-89.391782,1
2014,22077952000,30.815322,-91.687813,1
2014,22087030101,29.854668,-89.539931,1
2014,22107980200,31.962236,-91.408808,1
2014,22109001400,29.415769,-90.840045,1
2014,22111960500,32.738773,-92.204858,1
2014,22113951100,29.773583,-92.317356,1
2014,22115950100,31.241586,-93.030801,1
2014,22115950800,30.96517,-93.011025,1
2014,22119031100,32.918683,-93.30345,1
2014,22119031400,32.84152,-93.428899,1
2014,22125951701,30.934857,-91.408503,1
2014,22125951702,30.949066,-91.592943,1
2014,23003950100,47.02764,-68.135324,1
2014,23003950700,46.912239,-68.985077,1
2014,23003952300,46.364388,-68.078344,1
2014,23003952900,45.821723,-68.078898,1
2014,23005000000,43.628078,-70.018443,1
2014,23009965100,44.842848,-68.241729,1
2014,23009965200,44.692558,-68.551445,1
2014,23009965700,44.562217,-68.190446,1
2014,23011015500,44.519332,-69.941939,1
2014,23015975100,44.215248,-69.512007,1
2014,23015976100,43.766359,-69.317996,1
2014,23017995100,44.778736,-70.91237,1
2014,23019025500,45.425712,-68.128793,1
2014,23019029000,45.829619,-68.647608,1
2014,23021960300,45.870484,-69.33674,1
2014,23021960400,45.302468,-69.458631,1
2014,23023000000,43.679433,-69.792414,1
2014,23025985300,45.603694,-70.063387,1
2014,23025985600,44.958504,-69.62161,1
2014,23027045000,44.409638,-69.235809,1
2014,23029955100,45.140454,-67.762957,1
2014,23029955900,44.934085,-67.320396,1
2014,24019000000,38.170552,-76.17841,1
2014,24019970800,38.45295,-76.196927,1
2014,25015822700,42.43455,-72.931554,1
2014,25025000000,42.389705,-70.690167,1
2014,26001000000,44.769483,-82.818732,1
2014,26001980500,44.663188,-83.734281,1
2014,26003000000,46.994425,-86.564798,1
2014,26003980100,46.515235,-86.310838,1
2014,26003980300,46.261154,-86.751493,1
2014,26005000000,42.57328,-86.64068,1
2014,26007000000,45.033895,-82.880342,1
2014,26013000000,46.975218,-88.17865,1
2014,26029000000,45.591917,-85.403983,1
2014,26033000000,46.591287,-84.855695,1
2014,26033970600,46.424478,-84.611672,1
2014,26033970700,46.434712,-85.072357,1
2014,26033971100,45.990799,-83.820905,1
2014,26047000000,45.595648,-85.110634,1
2014,26051990100,44.003141,-84.259004,1
2014,26051990200,44.105376,-84.332997,1
2014,26053000000,46.814796,-90.129558,1
2014,26061000000,47.261823,-88.754275,1
2014,26061991000,46.661738,-88.760869,1
2014,26069000000,44.248736,-82.82202,1
2014,26069990400,44.488852,-83.618736,1
2014,26071980200,46.264743,-88.771859,1
2014,26079950400,44.585695,-85.120012,1
2014,26083000000,47.829419,-88.923707,1
2014,26083960300,48.015363,-88.744756,1
2014,26089000000,44.848712,-86.412926,1
2014,26095000000,47.027756,-85.546503,1
2014,26095960200,46.48691,-85.610302,1
2014,26097950200,46.099605,-85.023444,1
2014,26101000000,44.26877,-86.662503,1
2014,26103000000,47.048483,-87.773361,1
2014,26103001400,46.675827,-87.625016,1
2014,26105000000,43.991491,-86.775538,1
2014,26119990200,45.111726,-84.226875,1
2014,26123970100,43.723955,-85.80095,1
2014,26127000000,43.690845,-86.874133,1
2014,26131000000,47.048319,-89.291764,1
2014,26139000000,42.835153,-86.659245,1
2014,26141000000,45.503557,-83.443193,1
2014,26141950100,45.502739,-84.110999,1
2014,26141950300,45.300847,-83.985034,1
2014,26141950600,45.307172,-83.488771,1
2014,26151000000,43.553881,-82.320794,1
2014,26153000000,45.704571,-86.162423,1
2014,26153990100,46.257328,-86.043609,1
2014,26153990200,46.085211,-86.419216,1
2014,26159000000,42.296893,-86.723783,1
2014,27001990100,46.750084,-93.398507,1
2014,27001990200,46.817184,-93.590664,1
2014,27001990500,46.390962,-93.579796,1
2014,27005950200,46.851391,-95.524574,1
2014,27005951000,47.054,-95.661341,1
2014,27007950300,47.612834,-94.760039,1
2014,27007950400,47.738441,-94.825408,1
2014,27007950500,48.227249,-94.843897,1
2014,27007950800,47.880369,-94.984618,1
2014,27029000200,47.325437,-95.350267,1
2014,27031980100,47.866324,-90.503309,1
2014,27061980100,47.716947,-93.921181,1
2014,27061980200,47.516364,-94.039001,1
2014,27061980400,47.590045,-93.40311,1
2014,27061980600,47.15959,-93.274994,1
2014,27065980100,46.017107,-93.21199,1
2014,27069990100,48.736179,-96.661301,1
2014,27071990300,48.404075,-93.337893,1
2014,27071990500,48.256987,-93.930592,1
2014,27075970100,47.603586,-91.459145,1
2014,27077960100,48.963423,-94.950979,1
2014,27077960200,48.603986,-94.909032,1
2014,27087960300,47.310038,-95.709483,1
2014,27089980100,48.337079,-95.958011,1
2014,27113990100,48.08508,-95.884508,1
2014,27119020400,47.999889,-96.816244,1
2014,27135970400,48.726828,-95.472264,1
2014,27137010600,47.014055,-92.100826,1
2014,27137011100,46.885379,-92.417404,1
2014,27137011300,47.168562,-92.75406,1
2014,27137011400,47.272632,-92.191202,1
2014,27137015100,47.694153,-92.886937,1
2014,27137015200,47.711854,-92.542324,1
2014,27137015500,48.100943,-92.550412,1
2014,28007060100,33.163842,-89.427048,1
2014,28041950100,31.30089,-88.620053,1
2014,28049011300,32.150859,-90.617052,1
2014,28079040100,32.862131,-89.428842,1
2014,28083950100,33.677184,-90.348709,1
2014,28087001100,33.320824,-88.514869,1
2014,28121020101,32.464012,-89.839597,1
2014,29067950100,36.915557,-92.31869,1
2014,29127960200,39.820989,-91.71964,1
2014,29221960200,38.050008,-90.952771,1
2014,30001000100,45.130179,-112.995133,1
2014,30003000400,45.119766,-106.744168,1
2014,30003940300,45.517298,-106.908493,1
2014,30003940500,45.364141,-108.098168,1
2014,30003940600,45.635794,-107.415204,1
2014,30003940700,45.219226,-107.39398,1
2014,30005000100,48.735053,-108.61883,1
2014,30005940100,48.406485,-108.661455,1
2014,30005940200,48.073639,-108.797692,1
2014,30011000300,45.556276,-104.481226,1
2014,30015010100,47.87438,-110.292468,1
2014,30015940100,48.277663,-109.921957,1
2014,30015940200,48.186353,-109.803411,1
2014,30017961300,46.28561,-105.719016,1
2014,30019940200,48.592919,-105.169555,1
2014,30019940300,48.593028,-105.651582,1
2014,30019940500,48.570611,-105.944589,1
2014,30021000100,47.312452,-104.885712,1
2014,30023000200,45.981391,-113.179462,1
2014,30029000500,48.124238,-114.664073,1
2014,30029940100,47.838483,-114.583776,1
2014,30031001300,45.019596,-111.189498,1
2014,30035940300,48.385426,-112.780462,1
2014,30035976300,48.475686,-113.402133,1
2014,30041940100,48.356733,-109.938182,1
2014,30041940200,48.253518,-109.767548,1
2014,30047000100,47.864059,-113.871873,1
2014,30047940100,47.603935,-114.407189,1
2014,30047940200,47.817262,-114.30995,1
2014,30049000100,47.268887,-112.504469,1
2014,30049000200,46.786255,-112.260922,1
2014,30049000300,46.927664,-111.924202,1
2014,30053000100,48.211739,-115.26745,1
2014,30053000300,48.509299,-115.37613,1
2014,30053000500,48.651024,-115.827313,1
2014,30055954000,47.63527,-105.729721,1
2014,30057000200,45.633888,-112.035996,1
2014,30057000300,45.260072,-112.130972,1
2014,30061994500,47.007783,-114.717853,1
2014,30063000900,46.863445,-114.290481,1
2014,30065000100,46.554576,-108.392225,1
2014,30067000500,45.10252,-110.522839,1
2014,30067000600,45.004631,-110.628365,1
2014,30069000100,47.000478,-108.290051,1
2014,30071940100,48.367451,-108.39411,1
2014,30071940200,48.044864,-108.392461,1
2014,30073940300,48.301706,-112.657273,1
2014,30075000100,45.363372,-105.625006,1
2014,30077000100,46.762187,-112.824724,1
2014,30081000800,45.798575,-114.135094,1
2014,30083070100,47.949631,-104.569802,1
2014,30083070200,47.662015,-104.547863,1
2014,30085940100,48.223462,-104.787734,1
2014,30085940300,48.257964,-105.671969,1
2014,30087000100,46.605784,-106.92671,1
2014,30089000200,47.776515,-115.560381,1
2014,30091090100,48.616236,-104.264254,1
2014,30091940100,48.584729,-104.635169,1
2014,30091940200,48.587016,-104.956996,1
2014,30095966200,45.863037,-109.274769,1
2014,30095996500,45.449661,-109.633588,1
